claim_id,claim_amount,claim_frequency,duplicate_claim,suspicious_keywords,policy_expired,days_since_policy,num_previous_claims,amount_vs_avg_ratio,incident_to_claim_days,fraud_label
1,45000,1,0,0,0,365,0,0.8,5,0
2,125000,2,0,1,0,280,1,2.1,3,0
3,890000,5,1,1,1,30,4,15.2,1,1
4,32000,1,0,0,0,420,0,0.5,7,0
5,210000,2,0,0,0,180,1,3.5,4,0
6,75000,1,0,0,0,520,0,1.2,6,0
7,500000,4,1,1,0,45,3,8.5,2,1
8,18000,1,0,0,0,730,0,0.3,10,0
9,340000,3,1,1,0,60,2,5.8,1,1
10,92000,2,0,0,0,200,1,1.6,5,0
11,15000,1,0,0,0,450,0,0.25,8,0
12,780000,6,1,1,1,15,5,13.4,1,1
13,55000,1,0,0,0,380,0,0.9,9,0
14,165000,2,0,1,0,160,1,2.8,3,0
15,420000,4,1,1,1,20,4,7.2,1,1
16,28000,1,0,0,0,600,0,0.48,12,0
17,95000,2,0,0,0,240,1,1.6,6,0
18,650000,5,1,1,0,35,3,11.1,2,1
19,38000,1,0,0,0,480,0,0.65,7,0
20,185000,3,0,1,0,120,2,3.2,4,0
21,12000,1,0,0,0,800,0,0.2,15,0
22,920000,7,1,1,1,10,6,15.8,1,1
23,67000,1,0,0,0,350,0,1.1,8,0
24,230000,2,0,0,0,195,1,3.9,5,0
25,580000,5,1,1,1,25,4,9.9,1,1
26,41000,1,0,0,0,550,0,0.7,11,0
27,110000,2,0,1,0,175,1,1.9,4,0
28,380000,4,1,1,0,50,3,6.5,2,1
29,22000,1,0,0,0,700,0,0.38,13,0
30,145000,2,0,0,0,210,1,2.5,6,0
31,860000,6,1,1,1,12,5,14.7,1,1
32,48000,1,0,0,0,400,0,0.82,9,0
33,195000,3,0,1,0,140,2,3.3,3,0
34,470000,5,1,1,1,18,4,8.1,1,1
35,35000,1,0,0,0,620,0,0.6,10,0
36,88000,1,0,0,0,290,0,1.5,7,0
37,720000,6,1,1,0,28,5,12.3,1,1
38,25000,1,0,0,0,750,0,0.43,14,0
39,155000,2,0,0,0,185,1,2.7,5,0
40,540000,4,1,1,1,22,3,9.2,2,1
41,52000,1,0,0,0,460,0,0.89,8,0
42,125000,2,0,1,0,165,1,2.1,4,0
43,830000,7,1,1,1,8,6,14.2,1,1
44,33000,1,0,0,0,580,0,0.56,11,0
45,175000,3,0,0,0,155,2,3.0,5,0
46,610000,5,1,1,0,32,4,10.4,1,1
47,19000,1,0,0,0,820,0,0.32,16,0
48,108000,2,0,0,0,220,1,1.8,6,0
49,440000,4,1,1,1,16,3,7.5,1,1
50,62000,1,0,0,0,390,0,1.05,9,0
51,14000,1,0,0,0,900,0,0.24,18,0
52,950000,8,1,1,1,5,7,16.2,1,1
53,71000,1,0,0,0,340,0,1.2,8,0
54,215000,2,0,1,0,175,1,3.7,4,0
55,560000,5,1,1,1,20,4,9.6,1,1
56,44000,1,0,0,0,530,0,0.75,10,0
57,98000,2,0,0,0,235,1,1.7,6,0
58,390000,4,1,1,0,45,3,6.7,2,1
59,27000,1,0,0,0,680,0,0.46,13,0
60,168000,2,0,0,0,190,1,2.9,5,0
61,870000,6,1,1,1,11,5,14.9,1,1
62,57000,1,0,0,0,410,0,0.97,9,0
63,142000,2,0,1,0,160,1,2.4,4,0
64,490000,5,1,1,1,17,4,8.4,1,1
65,36000,1,0,0,0,600,0,0.62,11,0
66,115000,2,0,0,0,200,1,2.0,6,0
67,680000,6,1,1,0,30,5,11.6,1,1
68,21000,1,0,0,0,760,0,0.36,14,0
69,178000,3,0,0,0,150,2,3.0,5,0
70,520000,4,1,1,1,21,3,8.9,1,1
71,49000,1,0,0,0,470,0,0.84,8,0
72,132000,2,0,1,0,170,1,2.3,4,0
73,800000,7,1,1,1,9,6,13.7,1,1
74,31000,1,0,0,0,590,0,0.53,11,0
75,188000,3,0,0,0,145,2,3.2,5,0
76,600000,5,1,1,0,33,4,10.3,1,1
77,17000,1,0,0,0,840,0,0.29,17,0
78,105000,2,0,0,0,225,1,1.8,6,0
79,460000,4,1,1,1,19,3,7.9,1,1
80,65000,1,0,0,0,380,0,1.1,9,0
